Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
Southern Miss,206,299,97.6,107.1,47.90%,51.40%,28.10%,69.80%,49.10%,56.90%,9.40%,6.90%,71.1,0.369,0.338,69.9,42.40%,49.80%,29.80%,69.40%,14.2,1.02,76.5,44.00%,51.20%,32.50%,6.7,4.2,17.1,96.8335,108.9233,0.2048306,-17.0325,SB
San Diego,219,324,97.5,111.9,45.70%,49.90%,29.90%,68.40%,47.70%,45.80%,10.30%,6.20%,71.9,0.358,0.305,70.2,40.40%,46.30%,29.70%,75.10%,11.3,0.86,80.2,46.60%,51.60%,38.50%,7.3,3.5,21.2,100.0295,111.2267,0.2275294,-19.6345,WCC
Evansville,141,257,97.4,106.6,48.80%,52.10%,22.60%,70.80%,47.20%,52.60%,9.00%,7.70%,66.8,0.406,0.311,65.1,42.70%,51.50%,29.90%,70.50%,12.2,1.03,71.4,42.50%,49.50%,34.10%,6,4.4,16.6,98.5315,105.6156,0.3085257,-14.8293,MVC
Louisiana,171,320,97.2,109.5,45.70%,49.60%,25.90%,64.50%,44.10%,45.30%,10.60%,5.30%,66.2,0.381,0.298,64.9,39.80%,45.00%,31.30%,72.90%,10.3,0.97,73.3,45.50%,53.80%,31.50%,7.1,2.9,17.5,97.9323,109.7245,0.2136301,-15.8311,SB
Buffalo,227,341,97.1,113.2,48.80%,52.10%,24.80%,68.80%,46.50%,52.90%,8.80%,5.70%,72.4,0.44,0.327,70.3,42.10%,51.40%,30.40%,69.90%,13,0.92,81.6,47.70%,53.40%,37.20%,6.3,3.5,17.2,95.8342,113.5312,0.1251345,-17.3329,MAC
New Orleans,217,346,97.1,117.4,45.90%,49.30%,31.60%,64.50%,47.70%,50.10%,10.40%,4.10%,69.4,0.307,0.339,67.9,41.20%,46.00%,30.40%,66.90%,12.3,0.93,82.5,47.20%,55.10%,36.40%,7.3,2.6,15,99.3304,117.6352,0.1248346,-19.7346,Slnd
FIU,193,260,96.9,103.3,46.10%,50.20%,31.00%,70.40%,49.70%,47.60%,12.70%,8.00%,69,0.301,0.36,67.9,41.80%,47.40%,28.80%,70.50%,11.5,0.84,73,45.00%,52.60%,33.30%,8.9,4.5,17.3,96.0339,104.1118,0.2835269,-17.6331,CUSA
Grambling State,339,325,96.9,103.9,47.30%,51.50%,26.40%,68.90%,48.00%,48.30%,10.10%,6.10%,66,0.35,0.351,64.4,41.70%,46.90%,32.00%,72.90%,10.8,0.85,69.3,43.00%,47.00%,35.80%,6.7,3.5,16.9,95.7343,108.6224,0.188632,-16.9323,SWAC
Detroit,211,329,96.7,111,45.60%,49.40%,31.70%,69.70%,50.60%,43.90%,8.40%,4.20%,67.5,0.284,0.289,66.3,40.90%,43.90%,33.30%,73.30%,10.6,0.81,76.6,43.40%,52.40%,33.20%,5.8,2.5,19,95.1351,112.2292,0.1299343,-19.0336,Horz
UC Davis,174,237,96.7,103.5,46.30%,51.20%,27.60%,66.30%,46.60%,47.50%,11.30%,6.30%,68.2,0.355,0.383,66.2,40.50%,45.10%,32.20%,74.40%,10.5,0.78,71.1,43.40%,48.30%,35.20%,7.8,3.5,18.5,97.2331,104.1121,0.3107254,-11.5224,BW
Fresno State,168,278,96.6,111.4,46.10%,50.10%,26.70%,66.00%,45.70%,44.00%,10.40%,5.00%,71.2,0.353,0.364,70.7,40.60%,45.60%,31.40%,69.20%,10.8,0.83,80.7,46.60%,56.00%,34.20%,7.6,3.2,15.4,100.6282,108.6219,0.2932265,-16.6319,MWC
Lindenwood,312,313,96.4,104.1,45.00%,49.00%,30.00%,68.50%,48.40%,42.30%,10.80%,6.30%,69.7,0.346,0.36,68.3,40.40%,47.60%,26.70%,68.80%,10.2,0.8,74.2,44.30%,50.00%,34.60%,7.7,3.7,17,94.8352,107.7199,0.1867321,-12.8253,OVC
ULM,308,349,96.4,112.5,45.00%,48.80%,29.00%,67.50%,47.70%,51.50%,10.10%,3.80%,68,0.339,0.311,66.1,39.50%,43.10%,32.50%,71.00%,12,1.02,76.9,46.00%,55.80%,34.00%,6.9,2.3,14.2,96.8333,114.5321,0.1267344,-20.9353,SB
Arkansas-Pine Bluff,364,363,96.2,117.9,50.30%,51.90%,26.20%,65.40%,45.40%,52.20%,9.60%,3.50%,72.5,0.379,0.328,69.8,44.40%,52.60%,31.00%,59.00%,13.5,0.91,85.7,48.30%,58.50%,35.70%,7,2.1,19.1,95.3349,121.7361,0.0562362,-20.1349,SWAC
Sacramento State,331,344,96.2,111.8,48.00%,51.10%,27.20%,72.60%,48.70%,53.30%,8.60%,5.10%,65.8,0.449,0.313,63.3,41.00%,49.10%,31.20%,68.20%,11.8,0.89,73.4,46.70%,55.20%,36.60%,5.7,2.7,19,95.4346,113.9316,0.115435,-20.9354,BSky
Abilene Christian,281,228,95.9,100,46.70%,51.00%,30.10%,68.60%,48.20%,51.40%,14.00%,5.60%,69.8,0.253,0.372,67.6,43.00%,47.80%,28.90%,71.90%,12.4,0.85,71,46.10%,52.60%,32.70%,10,2.9,21.5,98.1322,101.385,0.4081204,-10.6208,WAC
Southern Utah,305,306,95.5,107.5,46.80%,51.20%,30.10%,68.00%,49.50%,48.50%,6.70%,6.50%,70,0.326,0.362,66.8,41.80%,47.20%,30.50%,72.90%,11.3,0.75,75.3,45.30%,49.80%,33.30%,4.7,4,18.3,96.034,109.7247,0.1768326,-13.727,WAC
Air Force,123,323,95.1,112.9,50.10%,52.50%,22.70%,71.00%,46.60%,62.90%,8.70%,5.10%,64.6,0.485,0.354,61.9,42.10%,50.50%,33.10%,63.50%,13.4,0.99,73.7,48.10%,54.80%,36.30%,5.7,2.8,17.8,98.7312,109.6243,0.2307291,-19.4341,MWC
NJIT,337,352,95.1,110.2,45.30%,48.90%,27.70%,68.20%,47.60%,41.90%,7.00%,5.90%,66.9,0.378,0.274,63.9,39.50%,45.00%,30.50%,73.00%,9.6,0.79,73.9,44.60%,52.00%,30.90%,4.7,3.5,18.4,94.2354,113.7314,0.1031352,-21.5361,AE
New Hampshire,304,355,95,112.7,47.10%,49.50%,27.40%,68.40%,46.90%,46.30%,8.40%,4.00%,68.3,0.408,0.264,64.9,40.70%,46.80%,31.70%,65.30%,11,0.84,77.2,47.60%,56.40%,34.10%,5.7,2.3,16.6,94.0355,115.1331,0.0885356,-20.4351,AE
Alabama A&M,361,360,94.6,109.6,45.10%,49.00%,33.90%,65.40%,48.20%,53.40%,11.00%,6.70%,72,0.415,0.386,69.3,38.70%,44.30%,30.80%,66.70%,12.3,0.77,79.9,47.00%,51.80%,39.00%,8,3.8,21.3,92.836,114.9327,0.0791358,-18.8335,SWAC
Northern Illinois,233,354,94.6,112.5,47.20%,50.70%,17.80%,69.30%,42.60%,52.10%,7.90%,5.90%,70.3,0.492,0.316,67.4,39.10%,45.40%,32.70%,70.80%,11.8,1.02,79.5,46.10%,51.00%,38.00%,5.6,3.4,20,94.4353,112.2291,0.1204349,-20.9355,MAC
The Citadel,296,362,94.5,116.3,46.90%,49.40%,27.20%,68.00%,46.60%,52.20%,8.30%,3.30%,65.7,0.452,0.328,63,40.30%,49.50%,29.20%,62.30%,11.6,0.9,76.9,47.10%,56.30%,34.70%,5.5,1.9,16.2,93.8356,117.6351,0.069436,-21.536,SC
East Texas A&M,215,335,94.4,110.1,49.20%,51.40%,28.10%,64.10%,45.40%,61.60%,12.30%,6.90%,67.9,0.483,0.28,64.4,41.60%,51.10%,31.40%,64.40%,14.2,0.92,74.9,47.40%,52.60%,37.40%,8.4,3.9,16.8,96.7336,111.1265,0.1692329,-19.9347,Slnd
Seton Hall,91,211,94.4,106.8,44.70%,48.10%,31.20%,68.30%,47.80%,50.70%,12.40%,6.50%,64.5,0.305,0.329,61.6,40.00%,43.90%,31.20%,66.30%,11.2,0.9,70.2,46.60%,54.50%,36.60%,8.1,3.3,18.1,97.5328,101.386,0.3913211,-13.1258,BE
Eastern Illinois,313,318,94.3,103.8,44.10%,48.00%,30.00%,69.10%,48.40%,46.00%,12.40%,4.50%,66.8,0.297,0.33,63.5,39.40%,42.60%,31.70%,69.30%,10.4,0.83,70.2,43.30%,50.20%,34.70%,8.4,2.4,18.9,93.7357,105.8162,0.197831,-14.5287,OVC
Wagner,362,339,93.9,102.6,43.70%,47.50%,31.80%,75.20%,51.90%,54.80%,9.50%,2.90%,60.4,0.376,0.293,57.5,37.80%,41.50%,31.60%,71.10%,11,0.93,63,43.30%,50.80%,33.20%,5.8,1.4,17.8,93.0359,108.8227,0.1423339,-13.0257,NEC
Maryland Eastern Shore,292,361,93.5,118.3,45.00%,49.20%,27.10%,65.90%,45.40%,47.20%,7.80%,3.60%,67.7,0.372,0.356,63.3,39.10%,43.60%,31.50%,66.70%,10.1,0.76,79.5,49.10%,58.60%,33.30%,5.2,2,18.6,95.3348,118.9356,0.0725359,-19.434,MEAC
Stephen F. Austin,228,273,93.2,101.4,46.60%,49.30%,34.70%,66.90%,50.40%,51.00%,11.60%,7.00%,68.5,0.368,0.322,64.7,41.30%,48.70%,28.80%,63.00%,12,0.73,69.4,42.80%,47.80%,34.40%,8,4,16.5,95.9341,104.8134,0.2643278,-12.1238,Slnd
Western Carolina,209,342,93.1,112.2,45.40%,49.00%,25.80%,70.60%,48.10%,48.80%,6.90%,5.00%,71.1,0.482,0.27,67.1,38.30%,46.30%,29.70%,73.40%,11.3,0.83,80.6,43.90%,52.80%,32.60%,4.9,3.2,17.6,95.5345,112.5296,0.1327342,-16.8321,SC
Cal State Fullerton,165,348,90.8,113.6,44.20%,49.40%,25.80%,70.30%,47.60%,41.50%,7.10%,3.30%,68.7,0.341,0.392,62.3,39.60%,46.10%,27.00%,73.80%,8.7,0.6,78.7,46.30%,55.80%,35.00%,4.9,1.9,17.8,91.9362,112.3295,0.0902355,-19.6343,BW
Chicago State,212,358,89.6,113.7,44.40%,47.80%,22.60%,66.40%,43.10%,48.50%,10.60%,6.20%,69.3,0.409,0.268,62.5,38.20%,43.40%,30.60%,70.50%,10.8,0.83,78.7,47.80%,55.70%,35.80%,7.3,3.6,19,92.7361,116.3343,0.0683361,-21.8362,NEC
Tarleton State,214,302,89.5,104.7,45.90%,51.00%,28.10%,66.10%,47.00%,46.30%,13.20%,6.80%,67.3,0.256,0.415,60.2,41.80%,45.00%,32.20%,72.90%,9.6,0.57,70.2,44.90%,53.00%,33.90%,8.9,3.4,19.5,93.1358,102.9101,0.2397287,-13.5266,WAC
Coppin State,336,359,88.7,111.1,44.00%,48.00%,26.50%,66.10%,44.80%,50.40%,11.30%,3.30%,68.8,0.321,0.364,61.3,39.30%,44.20%,29.00%,67.80%,10.8,0.72,76.9,48.50%,56.30%,36.30%,7.8,1.8,17.5,88.0363,112.5298,0.0557363,-19.1337,MEAC
Mississippi Valley State,350,364,79.5,124.1,42.10%,45.70%,22.70%,62.10%,42.00%,41.70%,8.60%,3.00%,66,0.306,0.303,52.4,37.70%,41.60%,28.80%,66.90%,7.9,0.49,82.3,50.70%,58.70%,37.70%,5.7,1.7,16.7,83,125.3,0.0087,-21.1,SWAC
