Team,SOS,NET,Offensive Rating,Defensive Rating,EFG,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,PACE,3PAR,FTAR,PPG,FG%,2FG%,3FG%,FT%,APG,AST-TOV,Allowed_PPG,Allowed_FG%,2Point_Allowed_FG%,3Point_Allowed_FG%,SPG,BPG,Fouls,ADJOE,ADJDE,BARTHAG,WAB,CONF
New Mexico,70,42,108.7,96.6,50.80%,54.00%,31.30%,74.20%,52.30%,50.90%,11.60%,8.60%,72.4,0.317,0.373,79.3,45.40%,50.70%,34.00%,68.60%,14.4,1.26,70.6,42.70%,48.20%,33.80%,8.5,5,17.6,112.478,95.418,0.868141,2.633,MWC
UMass-Lowell,277,242,108.7,109,54.60%,58.10%,26.10%,69.70%,49.60%,52.40%,8.20%,6.60%,69.4,0.346,0.316,76.1,48.70%,56.30%,34.20%,77.20%,14.5,1.15,76.1,45.40%,50.50%,35.60%,5.8,4.1,14,107.5151,115.8338,0.2970264,-11.6228,AE
Utah,92,73,108.6,104.4,51.80%,54.10%,34.40%,71.80%,53.40%,65.60%,9.20%,6.10%,69.3,0.439,0.368,75.5,44.60%,54.00%,32.70%,64.10%,17.4,1.4,72.6,42.10%,47.60%,34.00%,6.4,3.6,18.6,112.874,100.873,0.784666,-3.176,B12
Idaho State,344,194,108.5,106.9,47.80%,52.10%,38.30%,74.10%,55.10%,47.90%,8.60%,7.50%,66.2,0.366,0.344,72.2,42.10%,48.30%,31.20%,74.30%,12,1.1,72.1,47.00%,53.00%,37.30%,5.8,4.1,17.2,105.7194,109.9248,0.3900212,-10.6207,BSky
Queens,303,199,108.5,108.6,52.80%,55.60%,31.20%,70.70%,51.00%,59.70%,8.60%,8.40%,69.2,0.436,0.342,75.9,45.20%,52.90%,35.10%,68.90%,15.8,1.24,76.3,45.70%,52.00%,34.90%,6,5.1,16.8,106.6171,110.6259,0.3969208,-8.8175,ASun
South Alabama,238,123,108.5,99.9,50.80%,54.10%,28.30%,67.80%,48.80%,56.10%,13.50%,4.60%,63.9,0.456,0.336,71,43.50%,53.50%,31.70%,70.90%,13.8,1.45,65.5,38.70%,46.90%,33.10%,8.8,2.6,13.8,106.7167,103.611,0.5826131,-6.4129,SB
Davidson,147,153,108.4,107.9,52.40%,55.60%,24.40%,73.10%,49.20%,56.90%,8.20%,4.00%,66.5,0.421,0.292,72,45.20%,53.30%,34.10%,75.00%,14.6,1.51,71.5,45.30%,52.00%,35.30%,5.4,2.3,14.8,109.2119,107.5191,0.5454144,-9.3184,A10
Incarnate Word,311,249,108.4,108.5,51.50%,54.00%,34.30%,68.40%,51.00%,45.00%,10.00%,6.50%,64.9,0.358,0.288,70.9,45.20%,50.80%,35.20%,68.80%,11.8,1.04,71.3,46.30%,51.10%,35.80%,6.6,3.6,17,107.1157,111.5273,0.3869215,-11.7232,Slnd
Notre Dame,98,103,108.4,107.8,51.70%,55.10%,29.60%,74.00%,51.90%,44.20%,8.30%,3.00%,65.3,0.375,0.318,72.6,45.10%,50.80%,35.50%,74.00%,11.4,1.03,72.5,44.90%,53.60%,32.10%,5.6,1.8,15.7,110.4102,104.0115,0.6642101,-7.2141,ACC
Northwestern,44,53,108.2,102.8,49.80%,53.30%,31.20%,69.90%,49.80%,55.70%,10.10%,6.50%,65.9,0.342,0.313,72.4,44.10%,49.70%,33.20%,73.30%,14.5,1.46,69.2,43.30%,49.40%,33.80%,6.8,3.5,17.7,113.565,97.94,0.84545,-2.57,B10
Columbia,289,272,108.1,112.6,52.60%,55.60%,25.90%,73.30%,49.10%,60.10%,10.20%,3.40%,71.3,0.391,0.295,77.1,46.00%,53.90%,33.80%,72.80%,16.8,1.53,80.6,48.20%,54.60%,39.20%,7.3,2.1,15.7,104.4215,116.5345,0.2205297,-11.3222,Ivy
DePaul,120,119,108.1,111.1,52.70%,56.60%,27.30%,71.30%,49.80%,60.20%,8.90%,6.00%,65.5,0.464,0.274,72.4,44.70%,53.30%,34.60%,70.60%,15.2,1.27,74.5,45.30%,51.40%,34.40%,5.9,3.5,16,109.1122,104.0114,0.634211,-7.3146,BE
Indiana State,154,205,108.1,111.8,54.60%,58.20%,26.20%,73.00%,49.80%,57.80%,9.00%,3.30%,72.2,0.501,0.359,79,45.80%,56.60%,35.00%,75.30%,15.4,1.08,81.5,47.40%,54.50%,35.90%,6.5,2,19.1,109.1121,112.1289,0.4229195,-12.2241,MVC
North Dakota,207,275,108,117.1,49.60%,52.90%,33.70%,71.40%,51.00%,44.50%,7.60%,4.20%,70.6,0.4,0.335,76.3,43.10%,50.30%,32.40%,70.10%,11.9,1.02,82.2,49.00%,57.10%,37.10%,5.3,2.5,17.1,107.8143,114.532,0.3330247,-15.2301,Sum
William & Mary,182,218,108,110.3,53.80%,57.10%,26.10%,69.80%,48.10%,61.90%,9.70%,2.80%,70.8,0.515,0.356,76.5,44.90%,55.80%,34.50%,72.90%,15.9,1.24,78.5,46.20%,54.30%,34.80%,6.9,1.7,18.1,106.7165,111.4271,0.3790222,-10.7211,CAA
California,112,125,107.9,110.1,47.80%,52.60%,34.70%,71.20%,51.80%,41.30%,9.00%,6.30%,68,0.378,0.389,75.6,41.90%,48.20%,31.50%,74.60%,10.5,0.9,76.8,46.90%,51.40%,37.60%,6.3,3.7,16.5,110.0107,106.1166,0.6014125,-8.3165,ACC
Miami (FL),74,225,107.9,119.1,52.00%,55.10%,28.20%,69.20%,48.20%,47.00%,9.40%,5.80%,68.1,0.385,0.264,74,45.90%,55.10%,31.30%,76.40%,12.9,1.18,80.6,49.50%,55.90%,39.70%,6.4,3.4,14.4,112.675,114.7323,0.4476183,-13.7271,ACC
East Carolina,191,176,107.8,108.1,48.50%,52.60%,33.90%,69.00%,50.70%,50.10%,11.10%,7.50%,67.3,0.353,0.353,74,43.00%,49.40%,31.20%,72.90%,13,1.22,73.9,45.10%,48.70%,38.40%,7.6,4.4,15.5,106.6172,108.5216,0.4497181,-8.9176,Amer
Troy,161,99,107.8,99.1,49.80%,53.70%,38.10%,68.30%,53.30%,55.60%,13.70%,7.70%,66.8,0.45,0.37,72,43.00%,53.60%,30.10%,72.40%,13.6,1.03,66.3,41.20%,46.50%,32.80%,9.2,4.4,16.4,106.4178,100.267,0.667099,-4.393,SB
